ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
EG50320,BRUCE,TRN,MEA,245,Yes,"ONLY AVBL FOR TFC
ARR EGNS",H24,To allow expeditious routing outside controlled airspace where traffic levels do not warrant a permanent air route and enabling conectivity from Y958 for EGPL departures routing to EGNS,,,EG**ACC,
EG50165,OTR,ROVNI,MEA,245,Yes,"NOT AVBL FOR TFC
DEP EGNJ
Except via ODMOS with RFL above FL245 in EGTTFIR/UIR",H24,"EGNJ deps may only use this DCT if RFL245+ due to lack no lower airway beneath UL975. When Swanwick Mil are unable to provide a service to traffic operating on this routeing, traffic shall file OBOXA UP17 DIGBI or via LAMSO.",,,EG**ACC,
EG50166,ROVNI,ODMOS,MEA,245,Yes,"NOT AVBL FOR TFC
DEP EGNJ
Except via ODMOS with RFL above FL245 in EGTTFIR/UIR",H24,"EGNJ deps may only use this DCT if RFL245+ due to no lower airway beneath UL975. When Swanwick Mil are unable to provide a service to traffic operating on this routeing, traffic shall file OBOXA UP17 DIGBI or via LAMSO.",,,EG**ACC,
EG50319,TRN,BRUCE,MEA,245,Yes,"ONLY AVBL FOR TFC
DEP EGNS",H24,To allow expeditious routing outside controlled airspace where traffic levels do not warrant a permanent air route and enabling conectivity to Y958 for EGNS departures routing to EGPL,,,EG**ACC,
EP5174,DEXIR,RANOK,205,285,Yes,"ONLY AVBL FOR TFC
With RFL above FL245",H24,"To enable shorter connection
May be closed by Notam",,,EPWWACC,
EP5141,KOTEK,LUXAR,115,285,Yes,"ONLY AVBL FOR TFC
ARR UKLL",H24,"To facilitate arriving traffic
May be closed by Notam",,,EPWWACC,
EP5170,KOTEK,NUMBA,095,285,Yes,"ONLY AVBL FOR TFC
DEP EPLB",H24,"To enable alternative connection
May be closed by Notam",,,EPWWACC,
EP5269,SKAVI,IBEKA,095,285,Yes,"NOT AVBL FOR TFC
Via TUSIN",H24,"To enable connection between T710 and L984
May be closed by Notam",,,EPWWACC,
EP5169,SUDOL,KOTEK,095,285,Yes,"ONLY AVBL FOR TFC
ARR EPLB",H24,"To enable alternative connection
May be closed by Notam",,,EPWWACC,
EP5256,VEKAV,LASGU,095,245,Yes,"ONLY AVBL FOR TFC
DEP EPSY with ARR EPMO/WA",H24,"To offer shorter route option
May be closed by Notam",,Even,EPWWACC,
EP5034,XIDNA,VAGON,095,195,Yes,"ONLY AVBL FOR TFC
DEP EPPO",H24,"To enable traffic DEP EPWR via REGLI
May be closed by Notam",,,EPWWACC,
EP5033,XIDNA,MISKA,095,195,Yes,"ONLY AVBL FOR TFC
DEP EPPO",H24,"To enable traffic DEP EPWR via PEKOT
May be closed by Notam",,,EPWWACC,
EP5195,GOGUS,AGAVA,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5196,VEMAL,BIMPA,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5277,DOSIX,BIMPA,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5198,EVINA,KOTEK,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5199,EVINA,KUKAM,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5200,EVINA,NAVUR,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5201,EVINA,SKARY,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5202,LOLSI,DIBLO,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5203,LASGU,SORIX,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5204,NASOK,SORIX,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5205,SOXER,VAMPU,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5207,XIMBA,NATEV,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5208,XIMBA,BALBA,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5209,XIMBA,OMAVA,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5210,KOTEK,LOGDA,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
EP5211,OLILA,MEBIV,095,660,Yes,"ONLY AVBL FOR TFC
DEP EPMO/WA",H24,To enable connection between POLFRA and TMA Warszawa,POLFRA,,EPWWACC,
